u.DUID,STATIONNAME,PARTICIPANTID,estimated_revenue,estimated_MWh
BW04,Bayswater Power Station,MACQGEN,5852727.835714434,124168.04338666673
ER03,ERARING POWER STATION,OERARING,4804754.945661598,96975.73884333309
ER04,ERARING POWER STATION,OERARING,4795095.155136605,96817.12159333302
BW03,Bayswater Power Station,MACQGEN,4653957.348781902,95300.93820000034
ER01,ERARING POWER STATION,OERARING,4159602.1088170703,88611.57637166629
ER02,ERARING POWER STATION,OERARING,4074638.071078352,84629.78166666655
BW02,Bayswater Power Station,MACQGEN,4021663.6906658867,80198.34416000034
BW01,Bayswater Power Station,MACQGEN,3983418.920624475,79543.51203333364
KPP_1,Kogan Creek Power Station,CSENERGY,3793076.8581015402,85219.41840000007
VP5,"Vales Point ""B"" Power Station",DELTA,3413979.6796277696,66975.6358333331
