day,type,energy_mwh
2026-03-12,Battery Storage,654.5434408333332
2026-03-12,Brown coal,153669.25754583345
2026-03-12,GENERATOR,0.0
2026-03-12,Hydro,1976.3333333333333
2026-03-12,LOAD,0.0
2026-03-12,Natural Gas (Pipeline),0.0
2026-03-12,Solar,0.0
2026-03-12,UNKNOWN,0.0
2026-03-12,Wind,76179.97556583327
2026-03-11,Battery Storage,2649.8250625
2026-03-11,Brown coal,824080.0881366673
2026-03-11,GENERATOR,0.0
2026-03-11,Hydro,8110.193333333333
2026-03-11,LOAD,0.0
2026-03-11,Natural Gas (Pipeline),0.0
2026-03-11,Solar,87342.24386249995
2026-03-11,UNKNOWN,0.0
2026-03-11,Wind,510466.53023499873
2026-03-10,Battery Storage,34754.43055166666
2026-03-10,Brown coal,997876.7909708335
2026-03-10,GENERATOR,0.0
2026-03-10,Hydro,117814.77034583331
2026-03-10,LOAD,0.0
2026-03-10,Natural Gas (Pipeline),9853.815050000001
2026-03-10,Solar,138624.55828833368
2026-03-10,UNKNOWN,56.666666666666664
2026-03-10,Wind,95861.10318333287
2026-03-09,Battery Storage,36117.617534166704
2026-03-09,Brown coal,956934.97537
2026-03-09,GENERATOR,0.0
2026-03-09,Hydro,55513.89520416667
2026-03-09,LOAD,0.0
2026-03-09,Natural Gas (Pipeline),0.0
2026-03-09,Solar,112157.26973
2026-03-09,UNKNOWN,0.0
2026-03-09,Wind,150300.1480658327
2026-03-08,Battery Storage,7162.32032083334
2026-03-08,Brown coal,813991.8536383334
2026-03-08,GENERATOR,0.0
2026-03-08,Hydro,7571.251581666666
2026-03-08,LOAD,0.0
2026-03-08,Natural Gas (Pipeline),0.0
2026-03-08,Solar,71273.35981333321
2026-03-08,UNKNOWN,0.0
2026-03-08,Wind,357995.7926874999
2026-03-07,Battery Storage,21350.37444833334
2026-03-07,Brown coal,858149.2572033332
2026-03-07,GENERATOR,0.0
2026-03-07,Hydro,28237.467747499995
2026-03-07,LOAD,0.0
2026-03-07,Natural Gas (Pipeline),0.0
2026-03-07,Solar,103225.62634083333
2026-03-07,UNKNOWN,0.0
2026-03-07,Wind,306386.4720675
2026-03-06,Battery Storage,32682.246694166617
2026-03-06,Brown coal,1064435.7728308337
2026-03-06,GENERATOR,0.0
2026-03-06,Hydro,73133.52613416665
2026-03-06,LOAD,0.0
2026-03-06,Natural Gas (Pipeline),0.0
2026-03-06,Solar,153381.00183083408
2026-03-06,UNKNOWN,0.0
2026-03-06,Wind,123698.91241583345
2026-03-05,Battery Storage,12274.782134999994
2026-03-05,Brown coal,606292.1363491666
2026-03-05,GENERATOR,0.0
2026-03-05,Hydro,41536.622123333334
2026-03-05,LOAD,0.0
2026-03-05,Natural Gas (Pipeline),0.0
2026-03-05,Solar,97893.25809083326
2026-03-05,UNKNOWN,0.0
2026-03-05,Wind,99763.05643333304
