day,fuel_type,total_mwh
2026-03-12,Hydro,0.0
2026-03-12,Solar,0.0
2026-03-12,Wind,150975.0458040007
2026-03-11,Hydro,0.0
2026-03-11,Solar,10916.64000000001
2026-03-11,Wind,760671.3463079972
2026-03-10,Hydro,0.0
2026-03-10,Solar,25637.879891999903
2026-03-10,Wind,99289.11174000017
2026-03-09,Hydro,0.0
2026-03-09,Solar,12239.039999999995
2026-03-09,Wind,241234.50871200106
2026-03-08,Hydro,0.0
2026-03-08,Solar,2544.2400000000034
2026-03-08,Wind,532648.3134120029
2026-03-07,Hydro,0.0
2026-03-07,Solar,16643.87988000004
2026-03-07,Wind,578343.5598839972
2026-03-06,Hydro,0.0
2026-03-06,Solar,32034.83985600001
2026-03-06,Wind,236034.02251199866
2026-03-05,Hydro,0.0
2026-03-05,Solar,22621.19980799997
2026-03-05,Wind,200729.04036000042
