INTERVAL_DATETIME,REGIONID,forecast_rrp,actual_rrp,error_rrp
2026-03-12 14:05:00,NSW1,-5.04,,
2026-03-12 14:05:00,QLD1,-5.5,,
2026-03-12 14:05:00,SA1,-1.1,,
2026-03-12 14:05:00,TAS1,0.08,,
2026-03-12 14:05:00,VIC1,-38.67,,
2026-03-12 14:10:00,NSW1,-2.94,0.0,-2.94
2026-03-12 14:10:00,QLD1,-3.2,0.0,-3.2
2026-03-12 14:10:00,SA1,-4.0,-8.5,4.5
2026-03-12 14:10:00,TAS1,0.08,0.08,0.0
2026-03-12 14:10:00,VIC1,-19.99,-13.07,-6.92
2026-03-12 14:15:00,NSW1,-5.09,0.0,-5.09
2026-03-12 14:15:00,QLD1,-5.5,0.0,-5.5
2026-03-12 14:15:00,SA1,-4.0,-14.99,10.99
2026-03-12 14:15:00,TAS1,40.38,60.76,-20.38
2026-03-12 14:15:00,VIC1,-34.1,-14.1,-20.0
2026-03-12 14:20:00,NSW1,-4.83,0.51,-5.34
2026-03-12 14:20:00,QLD1,-5.26,0.52,-5.78
2026-03-12 14:20:00,SA1,-4.0,-19.85,15.85
2026-03-12 14:20:00,TAS1,36.58,53.26,-16.69
2026-03-12 14:20:00,VIC1,-37.16,-19.99,-17.17
2026-03-12 14:25:00,NSW1,-2.92,22.89,-25.81
2026-03-12 14:25:00,QLD1,-3.16,23.51,-26.67
2026-03-12 14:25:00,SA1,-4.26,-59.04,54.78
2026-03-12 14:25:00,TAS1,52.82,59.92,-7.09
2026-03-12 14:25:00,VIC1,-20.37,-14.1,-6.27
2026-03-12 14:30:00,NSW1,-2.93,0.51,-3.44
2026-03-12 14:30:00,QLD1,-3.16,0.53,-3.69
2026-03-12 14:30:00,SA1,-4.0,-20.0,16.0
2026-03-12 14:30:00,TAS1,50.67,82.84,-32.16
2026-03-12 14:30:00,VIC1,-34.78,-19.99,-14.79
2026-03-12 14:35:00,NSW1,-2.84,0.51,-3.35
2026-03-12 14:35:00,QLD1,-3.01,0.53,-3.54
2026-03-12 14:35:00,SA1,-15.46,-20.0,4.54
2026-03-12 14:35:00,TAS1,59.94,59.42,0.51
2026-03-12 14:35:00,VIC1,-14.1,-7.25,-6.85
2026-03-12 14:40:00,NSW1,0.0,51.84,-51.84
2026-03-12 14:40:00,QLD1,0.0,53.73,-53.73
2026-03-12 14:40:00,SA1,-7.5,-59.04,51.54
2026-03-12 14:40:00,TAS1,34.69,44.13,-9.44
2026-03-12 14:40:00,VIC1,-34.1,-19.99,-14.11
2026-03-12 14:45:00,NSW1,0.0,0.51,-0.51
2026-03-12 14:45:00,QLD1,0.0,0.54,-0.54
2026-03-12 14:45:00,SA1,-14.99,-59.04,44.05
2026-03-12 14:45:00,TAS1,35.01,54.88,-19.87
2026-03-12 14:45:00,VIC1,-38.67,-19.07,-19.6
2026-03-12 14:50:00,NSW1,0.0,0.0,-0.0
2026-03-12 14:50:00,QLD1,0.0,0.0,-0.0
2026-03-12 14:50:00,SA1,-8.5,-20.57,12.07
2026-03-12 14:50:00,TAS1,34.95,53.95,-19.0
2026-03-12 14:50:00,VIC1,-38.67,-19.99,-18.68
2026-03-12 14:55:00,NSW1,-2.98,51.15,-54.14
2026-03-12 14:55:00,QLD1,-3.16,53.54,-56.7
2026-03-12 14:55:00,SA1,-7.5,-20.0,12.5
2026-03-12 14:55:00,TAS1,34.95,88.91,-53.96
2026-03-12 14:55:00,VIC1,-38.67,-14.1,-24.57
2026-03-12 15:00:00,NSW1,-2.74,32.77,-35.51
2026-03-12 15:00:00,QLD1,-3.01,34.75,-37.76
2026-03-12 15:00:00,SA1,-7.5,-20.0,12.5
2026-03-12 15:00:00,TAS1,34.95,88.91,-53.96
2026-03-12 15:00:00,VIC1,-38.67,-14.1,-24.57
2026-03-12 15:05:00,NSW1,-2.74,40.54,-43.28
2026-03-12 15:05:00,QLD1,-3.01,43.05,-46.06
2026-03-12 15:05:00,SA1,-4.0,-15.46,11.46
