SETTLEMENTDATE,DUID,avg_bid_band_price
2026-03-02,ADPBA1,728.5
2026-03-02,ADPPV1,2272.065
2026-03-02,AGLHAL,5115.82
2026-03-02,AGLSOM,3382.0619999999994
2026-03-02,ALDGASF1,1755.5090000000005
2026-03-02,ANGAST1,3545.004000000001
2026-03-02,ARWF1,1941.3939999999996
2026-03-02,AVLSF1,1575.0649999999998
2026-03-02,BALB1,147.10150000000004
2026-03-02,BALDHWF1,1774.3310000000001
2026-03-02,BANGOWF1,2252.5899999999997
2026-03-02,BANGOWF2,2279.4359999999997
2026-03-02,BANN1,1539.3999999999996
2026-03-02,BARCALDN,3200.947
2026-03-02,BARKIPS1,4355.193
2026-03-02,BARRON-1,3109.13
2026-03-02,BARRON-2,3109.13
2026-03-02,BASTYAN,1895.712
2026-03-02,BBATTERY1,2575.3084999999996
2026-03-02,BBTHREE1,2027.0050000000003
2026-03-02,BBTHREE2,2027.0230000000004
2026-03-02,BBTHREE3,2027.041
2026-03-02,BDL01,4400.111
2026-03-02,BDL02,4400.112
2026-03-02,BERYLSF1,2366.576
2026-03-02,BHB1,3204.124
2026-03-02,BLOWERNG,-71.59899999999999
2026-03-02,BLUEGSF1,2678.4080000000004
2026-03-02,BLUFF1,2817.2470000000003
2026-03-02,BLYTHB1,3207.134
2026-03-02,BNGSF1,1923.1200000000001
2026-03-02,BNGSF2,1923.1200000000001
2026-03-02,BOCORWF1,2226.1709999999994
2026-03-02,BODWF1,3482.8
2026-03-02,BOLIVPS1,4843.553999999999
2026-03-02,BOMENSF1,2673.288
2026-03-02,BOWWBA1,728.5
2026-03-02,BOWWPV1,2179.978
2026-03-02,BRAEMAR1,2914.8769999999995
2026-03-02,BRAEMAR2,3080.3059999999996
2026-03-02,BRAEMAR3,3493.064
2026-03-02,BRAEMAR5,3801.5509999999995
2026-03-02,BRAEMAR6,3801.5509999999995
2026-03-02,BRAEMAR7,3801.5509999999995
2026-03-02,BRDDSF01,2210.674
2026-03-02,BRNDBES1,3212.254
2026-03-02,BROKENH1,2341.982
2026-03-02,BRYB1WF1,1589.0629999999999
2026-03-02,BRYB2WF2,2390.8779999999997
2026-03-02,BULBES1,2665.6749999999993
2026-03-02,BULGANA1,1719.8049999999996
2026-03-02,BUNGAMB1,3462.2659999999996
2026-03-02,BUSF1,1748.605
2026-03-02,BW01,3924.9600000000005
2026-03-02,BW02,3924.9600000000005
2026-03-02,BW03,3923.923
2026-03-02,BW04,3923.923
2026-03-02,CALL_B_1,2806.487
2026-03-02,CALL_B_2,2806.487
2026-03-02,CAPBES1,3217.5855
2026-03-02,CATHROCK,1768.091
2026-03-02,CBWWBA1,728.5
2026-03-02,CETHANA,1922.7689999999998
2026-03-02,CG1,2164.3149999999996
2026-03-02,CG2,2164.3389999999995
2026-03-02,CG3,2164.323
2026-03-02,CG4,2164.331
2026-03-02,CGBESS01,3436.4674999999997
2026-03-02,CHBESS1,1938.0985
2026-03-02,CHILDSF1,2775.1090000000004
2026-03-02,CHYTWF1,3200.745
2026-03-02,CLARESF1,2134.4900000000002
2026-03-02,CLEMGPWF,2438.708
2026-03-02,CLERMSF1,2249.2539999999995
2026-03-02,CLRKCWF1,1798.6559999999997
2026-03-02,CLRKCWF2,2297.714
2026-03-02,CNUNDAWF,1867.2659999999996
2026-03-02,COHUNSF1,1746.0429999999997
2026-03-02,COLEASF1,1734.3049999999998
2026-03-02,COLUMSF1,2380.639
2026-03-02,COLWF01,2645.704
2026-03-02,COOPGWF1,2780.8199999999997
2026-03-02,CPP_3,2764.579
2026-03-02,CPP_4,2764.579
2026-03-02,CPSA,3358.072
2026-03-02,CROOKWF2,2020.539
2026-03-02,CROOKWF3,1696.0369999999998
2026-03-02,CROWLWF1,2238.111
2026-03-02,CRURWF1,2291.156
2026-03-02,CRWARP1,1959.4210000000003
2026-03-02,CRWASF1,2312.718
2026-03-02,CSPVPS1,1675.6289999999997
2026-03-02,CTHLWF1,2772.2709999999997
2026-03-02,CUSF1,1849.895
2026-03-02,DALNTH1,3737.0020000000004
2026-03-02,DARLSF1,2301.019
2026-03-02,DARTM1,4092.7399999999993
2026-03-02,DAYDSF1,3692.631
2026-03-02,DDPS1,3528.165
2026-03-02,DDSF1,2984.2470000000003
2026-03-02,DEVILS_G,1951.6950000000002
2026-03-02,DG_NSW1,1412.7
2026-03-02,DG_QLD1,1412.7
2026-03-02,DG_SA1,1412.7
2026-03-02,DG_TAS1,1412.7
2026-03-02,DG_VIC1,1412.7
2026-03-02,DPNTB1,1861.5829999999999
2026-03-02,DRVIOT06,51.1
2026-03-02,DRXNAD01,2075.0
2026-03-02,DRXNAE01,2075.0
2026-03-02,DRXNDA01,2077.83
2026-03-02,DRXNDA02,2077.63
2026-03-02,DRXNDA03,2077.63
2026-03-02,DRXNDA04,2077.63
2026-03-02,DRXNDB04,2075.0
2026-03-02,DRXNDE01,2777.83
2026-03-02,DRXNDJ01,2095.0299999999997
2026-03-02,DRXNDW01,2075.0
2026-03-02,DRXNFF01,2075.0
2026-03-02,DRXNFS01,2077.6
2026-03-02,DRXNQX01,2075.0
2026-03-02,DRXNSS01,2075.0
2026-03-02,DRXNTM02,4992.6
2026-03-02,DRXNVS01,2075.0
2026-03-02,DRXQDA01,2078.5
2026-03-02,DRXQQE01,2075.0
2026-03-02,DRXSQS01,2078.6
2026-03-02,DRXVAE01,51.1
2026-03-02,DRXVDJ01,2075.23
2026-03-02,DRXVDP01,2165.0
2026-03-02,DRXVDX01,2775.0299999999997
2026-03-02,DRXVQP01,2775.23
2026-03-02,DRXVQX01,2775.0299999999997
2026-03-02,DRXVQX02,2075.0
2026-03-02,DRYCGT1,5114.236
2026-03-02,DRYCGT2,4461.176
2026-03-02,DRYCGT3,5088.072
2026-03-02,DULAWF1,2722.657
2026-03-02,DUNDWF1,2462.25
2026-03-02,DUNDWF2,2514.356
2026-03-02,DUNDWF3,2442.1690000000003
2026-03-02,EDENVSF1,2761.74
2026-03-02,EILDON1,3512.3959999999997
2026-03-02,EILDON2,3512.3959999999997
2026-03-02,ELAINWF1,2406.782
2026-03-02,EMERASF1,1765.227
2026-03-02,ER01,3649.422
2026-03-02,ER02,3649.422
2026-03-02,ER03,3652.387
2026-03-02,ER04,3652.387
2026-03-02,ERB01,1525.6130000000005
2026-03-02,FINLYSF1,1951.4029999999998
2026-03-02,FISHER,1934.8310000000001
2026-03-02,FLYCRKWF,2241.173
2026-03-02,GANGARR1,1896.4630000000002
2026-03-02,GANNB1,1826.398
2026-03-02,GANNSF1,2173.898
2026-03-02,GESF1,1703.6899999999998
2026-03-02,GIRGSF,1734.1329999999998
2026-03-02,GLENSF1,2094.442
2026-03-02,GLRWNSF1,2363.254
2026-03-02,GNNDHSF1,2200.578
2026-03-02,GOESF1,1967.113
2026-03-02,GOONSF1,2666.278
2026-03-02,GORDON,1947.1800000000003
2026-03-02,GPWFEST1,2157.57
2026-03-02,GPWFEST2,2157.57
2026-03-02,GPWFEST3,2152.6040000000003
2026-03-02,GPWFWST1,2158.233
2026-03-02,GPWFWST2,2158.233
2026-03-02,GRANWF1,2097.9109999999996
2026-03-02,GREENB1,2003.3090000000004
2026-03-02,GSTONE1,2090.8480000000004
2026-03-02,GSTONE2,2090.8480000000004
2026-03-02,GSTONE3,2085.543
2026-03-02,GSTONE4,2085.543
2026-03-02,GSTONE5,2090.8480000000004
2026-03-02,GSTONE6,2090.8480000000004
2026-03-02,GSWF1A,1839.5220000000002
2026-03-02,GSWF1B1,1839.5489999999998
2026-03-02,GULLRSF1,2380.396
2026-03-02,GULLRWF1,2403.4440000000004
2026-03-02,GULLRWF2,2403.4440000000004
2026-03-02,GUNNING1,1753.3830000000003
2026-03-02,GUSF1,2206.377
2026-03-02,GUTHEGA,1907.9899999999998
2026-03-02,HALLWF1,2931.808
2026-03-02,HALLWF2,2914.5170000000003
2026-03-02,HAMISF1,2586.084
2026-03-02,HAUGHT11,2536.239
2026-03-02,HAYMSF1,2660.279
2026-03-02,HBESS1,1724.8845000000001
2026-03-02,HD1WF1,1677.702
2026-03-02,HDWF1,3455.843
2026-03-02,HDWF2,3454.4089999999997
2026-03-02,HDWF3,3454.505
2026-03-02,HEZ1,2338.542
2026-03-02,HILLSTN1,1780.8580000000002
2026-03-02,HPR1,2849.673
2026-03-02,HUMENSW,2063.448
2026-03-02,HUMEV,2132.2390000000005
2026-03-02,HUNTER1,2144.329
2026-03-02,HUNTER2,2144.3360000000002
2026-03-02,HVWWBA1,728.908
2026-03-02,HVWWPV1,2341.982
2026-03-02,JBUTTERS,1904.9330000000002
2026-03-02,JEMALNG1,1716.9059999999995
2026-03-02,JLA01,5271.556000000001
2026-03-02,JLA02,5271.556000000001
2026-03-02,JLA03,5271.556000000001
2026-03-02,JLA04,5271.556000000001
2026-03-02,JLB01,5271.55
2026-03-02,JLB02,5271.55
2026-03-02,JLB03,5271.55
2026-03-02,JUNEESF1,2252.629
2026-03-02,KABANWF1,1777.8780000000002
2026-03-02,KAREEYA1,1944.609
2026-03-02,KAREEYA2,1944.6290000000001
2026-03-02,KAREEYA3,1944.5990000000002
2026-03-02,KAREEYA4,1944.619
2026-03-02,KARSF1,2156.2249999999995
2026-03-02,KEPSF1,1655.9029999999998
2026-03-02,KEPWF1,1655.9029999999998
2026-03-02,KERNGSP1,2338.578
2026-03-02,KESSB1,2197.22
2026-03-02,KIAMSF1,1442.8319999999999
2026-03-02,KIATAWF1,1998.4649999999997
2026-03-02,KIDSPHG1,51.1
2026-03-02,KIDSPHG2,51.1
2026-03-02,KIDSPHL1,51.1
2026-03-02,KIDSPHL2,51.1
2026-03-02,KINGASF1,1875.0030000000006
2026-03-02,KPP_1,2788.777
2026-03-02,KSP1,1786.503
2026-03-02,LADBROK1,6291.861999999999
2026-03-02,LADBROK2,6291.861999999999
2026-03-02,LANCSF1,1806.462
2026-03-02,LBB1,3582.468
2026-03-02,LDBESS1,3388.2125
2026-03-02,LEM_WIL,1963.986
2026-03-02,LGAPBS1,3400.840999999999
2026-03-02,LGAPWF1,2364.019
2026-03-02,LGAPWF2,2364.019
2026-03-02,LILYSF1,3682.0600000000004
2026-03-02,LIMBESS1,2589.422
2026-03-02,LIMOSF11,1772.5919999999999
2026-03-02,LIMOSF21,1799.6029999999998
2026-03-02,LI_WY_CA,2000.378
2026-03-02,LKBONNY1,1678.527
2026-03-02,LKBONNY2,1673.809
2026-03-02,LKBONNY3,1678.423
2026-03-02,LK_ECHO,1890.524
2026-03-02,LNGS1,2195.85
2026-03-02,LNGS2,2195.835
2026-03-02,LONSDALE,3551.8089999999997
2026-03-02,LOYYB1,1930.532
2026-03-02,LOYYB2,1930.532
2026-03-02,LVES1,1668.315
2026-03-02,LYA1,1979.038
2026-03-02,LYA2,1979.038
2026-03-02,LYA3,1979.038
2026-03-02,LYA4,1979.038
2026-03-02,MACARTH1,3180.862
2026-03-02,MACKNTSH,1867.3110000000001
2026-03-02,MANNSF2,2408.961
2026-03-02,MANNUMB1,1117.0490000000002
2026-03-02,MANSLR1,3680.165
2026-03-02,MAPS2PV1,2256.3349999999996
2026-03-02,MAPS3PV1,2252.98
2026-03-02,MARYRSF1,1842.7939999999999
2026-03-02,MBPS2PV1,2226.32
2026-03-02,MCINTYR1,1867.461
2026-03-02,MCKAY1,3499.4309999999996
2026-03-02,MEADOWBK,1991.4190000000003
2026-03-02,MERCER01,2461.4820000000004
2026-03-02,METZSF1,2263.9259999999995
