u.DUID,REGIONID,FUEL_TYPE,avg_output_mw,registered_capacity_mw,average_capacity_factor
WAUBRAWF,VIC1,Wind,783.21,122.0,6.42
BARCSF1,QLD1,Solar,63.34,10.0,6.334
DIAPURWF1,VIC1,Wind,43.16,8.0,5.396
HUGSF1,QLD1,Solar,41.03,10.0,4.103
GRIFSF1,NSW1,Solar,102.15,27.0,3.783
LRSF1,QLD1,Solar,55.11,17.0,3.241
CULLRGWF,NSW1,Wind,96.02,30.0,3.201
MLWF1,VIC1,Wind,58.48,20.0,2.924
WOOLNTH1,TAS1,Wind,347.85,140.0,2.485
MLSP1,NSW1,Solar,29.14,12.0,2.428
YAMBUKWF,VIC1,Wind,69.24,30.0,2.308
CHALLHWF,VIC1,Wind,116.76,52.0,2.245
CAPTL_WF,NSW1,Wind,302.23,140.0,2.159
WNSF1,VIC1,Solar,55.85,26.0,2.148
PORTWF,VIC1,Wind,305.31,148.0,2.063
YSWF1,VIC1,Wind,37.69,28.0,1.346
ROYALLA1,NSW1,Solar,24.44,20.0,1.222
