participant_id,REGIONID,duid_count
ACACIRET,NSW1,1
ACACIRET,VIC1,1
ACLESGA,VIC1,1
ACTEWAGL,NSW1,1
AETVPOWR,VIC1,1
AGLAM,QLD1,1
AGLE,SA1,2
AGLES,NSW1,2
AGLLBESS,NSW1,1
AGLWBESS,QLD1,3
ALCOA,VIC1,1
ALCOAPA,VIC1,2
ALDOGASF,QLD1,1
ALNTARES,VIC1,6
ALNTBHWF,VIC1,1
AMALMASP,NSW1,1
ARARATWF,VIC1,1
ARROW,QLD1,1
B2PS,QLD1,3
BALBESS,VIC1,3
BANGOWF2,NSW1,1
BASSLINK,TAS1,1
BASSLINK,VIC1,1
BBPEM,NSW1,3
BBPEM,QLD1,1
BBPEM,SA1,3
BBPOWER,TAS1,2
BERBANK,NSW1,3
BERBANKW,VIC1,1
BERYBKWF,VIC1,1
BIPCHIN,QLD1,1
BLYTHBAT,SA1,1
BOCOROCK,NSW1,1
BODWF1,NSW1,1
BOMENSF,NSW1,1
BORAL,NSW1,7
BORAL,QLD1,8
BORAL,SA1,10
BORAL,VIC1,3
BORALCMT,NSW1,1
BORALCMT,VIC1,1
BOULBESS,QLD1,3
BRNDBESS,QLD1,1
BULGANA,VIC1,4
BUNGALA1,SA1,1
BUNGALA2,SA1,1
BUNGBESS,SA1,1
BUSF,QLD1,1
BWFTRUST,NSW1,1
CAPBESS,NSW1,3
CAPEBYRN,NSW1,2
CAPRISF,QLD1,1
CAPTPL,QLD1,3
CARWARP,VIC1,1
CATHROCK,SA1,1
CBWF,VIC1,1
CGBESS,SA1,1
CHALLHWF,VIC1,1
CHERRYWF,VIC1,1
CLARESF1,QLD1,1
CLEANCO,QLD1,30
CLEMGPWF,SA1,1
CLERMSF,QLD1,1
CNRGY,QLD1,1
CNUNDAWF,SA1,1
COALCO,SA1,9
COLEAMSF,NSW1,1
COLLECWF,NSW1,1
COLUMSF,QLD1,1
COOPGWF,QLD1,1
COROWASF,NSW1,1
CPEMGEN,VIC1,1
CROOKWD,NSW1,1
CROOKWD3,NSW1,1
CROWLDWF,VIC1,1
CRUDINE,NSW1,1
CSENERGY,QLD1,28
CSF1,QLD1,1
CULLRGWF,NSW1,1
CUSF,NSW1,1
DALBYSGA,QLD1,1
DALRYMPN,SA1,3
DARLSF,NSW1,1
DAYDSF,QLD1,1
DDSF,QLD1,1
DELTA,NSW1,6
DIAMDGEN,NSW1,1
DIAMDGEN,QLD1,4
DIAMOND,QLD1,3
DIAMOND,VIC1,4
DIRLINKP,NSW1,1
DIRLINKP,QLD1,1
DISCOVER,SA1,1
DPNTBESS,NSW1,6
DUBBONA,NSW1,1
DUBBOSK,NSW1,1
DULACCA,QLD1,1
DUNDWF,VIC1,3
EASTENGY,NSW1,1
EASTENGY,VIC1,2
ECOGEN,VIC1,8
EDENVALE,QLD1,1
EDISON,VIC1,2
EDLCSMQ,QLD1,1
EDLGRPOP,NSW1,2
EDLGRPOP,VIC1,1
EDLLFGN,NSW1,3
EDLLFGQ,QLD1,2
EDLLFGS,SA1,5
EDLLFGV,VIC1,5
EDLOCI,QLD1,2
EDLTT,NSW1,1
EEQ,QLD1,1
EEQGEN,QLD1,1
EEQLILY,QLD1,1
