hour_of_day,REGIONID,avg_demand_mw
0,NSW1,7313.71
0,QLD1,6239.01
0,SA1,1314.84
0,TAS1,858.01
0,VIC1,4464.19
1,NSW1,6972.97
1,QLD1,6035.91
1,SA1,1287.75
1,TAS1,850.36
1,VIC1,4263.85
2,NSW1,6782.55
2,QLD1,5917.86
2,SA1,1231.45
2,TAS1,849.77
2,VIC1,4129.85
3,NSW1,6747.4
3,QLD1,5898.37
3,SA1,1191.61
3,TAS1,860.98
3,VIC1,4112.36
4,NSW1,6958.71
4,QLD1,5988.46
4,SA1,1200.84
4,TAS1,901.49
4,VIC1,4297.57
5,NSW1,7518.24
5,QLD1,6233.27
5,SA1,1254.26
5,TAS1,956.97
5,VIC1,4695.85
6,NSW1,8084.53
6,QLD1,6520.32
6,SA1,1359.07
6,TAS1,1033.68
6,VIC1,5158.13
7,NSW1,8104.94
7,QLD1,6463.87
7,SA1,1331.64
7,TAS1,1023.65
7,VIC1,5148.72
8,NSW1,7838.64
8,QLD1,6190.64
8,SA1,1094.48
8,TAS1,991.21
8,VIC1,4879.22
9,NSW1,7642.11
9,QLD1,6044.21
9,SA1,828.27
9,TAS1,942.62
9,VIC1,4503.09
10,NSW1,7537.55
10,QLD1,5897.06
10,SA1,598.07
10,TAS1,899.18
10,VIC1,4237.89
11,NSW1,7320.14
11,QLD1,6020.36
11,SA1,400.29
11,TAS1,873.3
11,VIC1,4008.58
12,NSW1,7249.71
12,QLD1,6089.76
12,SA1,266.43
12,TAS1,847.99
12,VIC1,3914.72
13,NSW1,7594.2
13,QLD1,6162.84
13,SA1,223.7
13,TAS1,852.01
13,VIC1,3910.17
14,NSW1,7928.6
14,QLD1,6390.01
14,SA1,293.85
14,TAS1,851.26
14,VIC1,4042.84
15,NSW1,8691.7
15,QLD1,7007.52
15,SA1,455.66
15,TAS1,894.5
15,VIC1,4491.85
16,NSW1,9516.83
16,QLD1,7698.61
16,SA1,722.37
16,TAS1,968.02
16,VIC1,5134.93
17,NSW1,9936.98
17,QLD1,8178.84
17,SA1,1055.42
17,TAS1,1024.46
17,VIC1,5605.79
18,NSW1,9803.12
18,QLD1,8325.62
18,SA1,1391.0
18,TAS1,1040.46
18,VIC1,5771.55
19,NSW1,9492.68
19,QLD1,8106.43
19,SA1,1501.89
19,TAS1,1031.48
19,VIC1,5623.7
20,NSW1,8997.74
20,QLD1,7748.75
20,SA1,1455.58
20,TAS1,999.59
20,VIC1,5289.29
21,NSW1,8549.76
21,QLD1,7447.88
21,SA1,1383.86
21,TAS1,950.78
21,VIC1,4946.03
22,NSW1,8094.49
22,QLD1,6914.35
22,SA1,1304.72
22,TAS1,911.21
22,VIC1,4660.44
23,NSW1,7681.12
23,QLD1,6553.02
23,SA1,1279.15
23,TAS1,875.37
23,VIC1,4712.21
