trading_day,REGIONID,demand_weighted_price
2026-03-02,NSW1,70.52
2026-03-02,QLD1,46.53
2026-03-02,SA1,72.64
2026-03-02,TAS1,88.36
2026-03-02,VIC1,67.17
2026-03-03,NSW1,77.16
2026-03-03,QLD1,57.34
2026-03-03,SA1,94.23
2026-03-03,TAS1,105.91
2026-03-03,VIC1,61.27
2026-03-04,NSW1,86.11
2026-03-04,QLD1,73.9
2026-03-04,SA1,87.07
2026-03-04,TAS1,92.8
2026-03-04,VIC1,55.94
2026-03-05,NSW1,96.48
2026-03-05,QLD1,79.9
2026-03-05,SA1,89.45
2026-03-05,TAS1,81.74
2026-03-05,VIC1,63.92
2026-03-06,NSW1,87.21
2026-03-06,QLD1,84.19
2026-03-06,SA1,63.49
2026-03-06,TAS1,92.5
2026-03-06,VIC1,53.92
2026-03-07,NSW1,79.87
2026-03-07,QLD1,77.25
2026-03-07,SA1,17.13
2026-03-07,TAS1,84.98
2026-03-07,VIC1,16.25
2026-03-08,NSW1,62.58
2026-03-08,QLD1,76.54
2026-03-08,SA1,11.01
2026-03-08,TAS1,73.22
2026-03-08,VIC1,-4.97
2026-03-09,NSW1,86.35
2026-03-09,QLD1,87.83
2026-03-09,SA1,87.85
2026-03-09,TAS1,92.14
2026-03-09,VIC1,42.03
2026-03-10,NSW1,65.73
2026-03-10,QLD1,64.15
2026-03-10,SA1,80.05
2026-03-10,TAS1,101.92
2026-03-10,VIC1,61.43
2026-03-11,NSW1,52.3
2026-03-11,QLD1,51.1
2026-03-11,SA1,0.24
2026-03-11,TAS1,73.93
2026-03-11,VIC1,-2.21
2026-03-12,NSW1,54.45
2026-03-12,QLD1,53.54
2026-03-12,SA1,1.98
2026-03-12,TAS1,67.96
2026-03-12,VIC1,0.86
