DUID,MLF,REGIONID
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
LIMOSF11,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
SUNRSF1,0.7774,NSW1
,0.7774,NSW1
LIMOSF11,0.7774,NSW1
SUNRSF1,0.7774,NSW1
,0.7774,NSW1
LIMOSF11,0.7774,NSW1
SUNRSF1,0.7774,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
BROKENH1,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
,0.7784,NSW1
