hour_start,REGIONID,avg_net_interchange_mw
2026-03-02 04:00:00,NSW1,-939.8
2026-03-02 04:00:00,QLD1,398.46
2026-03-02 04:00:00,SA1,2.67
2026-03-02 04:00:00,TAS1,-60.0
2026-03-02 04:00:00,VIC1,658.19
2026-03-02 05:00:00,NSW1,-903.15
2026-03-02 05:00:00,QLD1,386.34
2026-03-02 05:00:00,SA1,11.95
2026-03-02 05:00:00,TAS1,-15.0
2026-03-02 05:00:00,VIC1,572.89
2026-03-02 06:00:00,NSW1,-1094.71
2026-03-02 06:00:00,QLD1,608.28
2026-03-02 06:00:00,SA1,60.88
2026-03-02 06:00:00,TAS1,-0.19
2026-03-02 06:00:00,VIC1,490.76
2026-03-02 07:00:00,NSW1,-713.44
2026-03-02 07:00:00,QLD1,641.79
2026-03-02 07:00:00,SA1,-50.2
2026-03-02 07:00:00,TAS1,0.0
2026-03-02 07:00:00,VIC1,148.32
2026-03-02 08:00:00,NSW1,-328.79
2026-03-02 08:00:00,QLD1,561.34
2026-03-02 08:00:00,SA1,-54.82
2026-03-02 08:00:00,TAS1,0.0
2026-03-02 08:00:00,VIC1,-163.58
2026-03-02 09:00:00,NSW1,-255.33
2026-03-02 09:00:00,QLD1,575.43
2026-03-02 09:00:00,SA1,63.64
2026-03-02 09:00:00,TAS1,12.24
2026-03-02 09:00:00,VIC1,-377.5
2026-03-02 10:00:00,NSW1,-185.7
2026-03-02 10:00:00,QLD1,584.71
2026-03-02 10:00:00,SA1,9.64
2026-03-02 10:00:00,TAS1,0.96
2026-03-02 10:00:00,VIC1,-389.75
2026-03-02 11:00:00,NSW1,-177.33
2026-03-02 11:00:00,QLD1,591.82
2026-03-02 11:00:00,SA1,-55.5
2026-03-02 11:00:00,TAS1,-2.54
2026-03-02 11:00:00,VIC1,-337.89
2026-03-02 12:00:00,NSW1,-264.84
2026-03-02 12:00:00,QLD1,645.55
2026-03-02 12:00:00,SA1,-296.41
2026-03-02 12:00:00,TAS1,-50.66
2026-03-02 12:00:00,VIC1,-9.5
2026-03-02 13:00:00,NSW1,-588.11
2026-03-02 13:00:00,QLD1,647.24
2026-03-02 13:00:00,SA1,-236.12
2026-03-02 13:00:00,TAS1,-60.0
2026-03-02 13:00:00,VIC1,263.13
2026-03-02 14:00:00,NSW1,-857.25
2026-03-02 14:00:00,QLD1,662.33
2026-03-02 14:00:00,SA1,-167.22
2026-03-02 14:00:00,TAS1,-40.0
2026-03-02 14:00:00,VIC1,448.93
2026-03-02 15:00:00,NSW1,-1362.45
2026-03-02 15:00:00,QLD1,838.17
2026-03-02 15:00:00,SA1,-189.41
2026-03-02 15:00:00,TAS1,-5.0
2026-03-02 15:00:00,VIC1,815.24
2026-03-02 16:00:00,NSW1,-1670.25
2026-03-02 16:00:00,QLD1,824.45
2026-03-02 16:00:00,SA1,-265.76
2026-03-02 16:00:00,TAS1,-0.7
2026-03-02 16:00:00,VIC1,1260.76
2026-03-02 17:00:00,NSW1,-1313.51
2026-03-02 17:00:00,QLD1,567.39
2026-03-02 17:00:00,SA1,-352.83
2026-03-02 17:00:00,TAS1,0.0
2026-03-02 17:00:00,VIC1,1204.0
2026-03-02 18:00:00,NSW1,-501.6
2026-03-02 18:00:00,QLD1,98.88
2026-03-02 18:00:00,SA1,-363.81
2026-03-02 18:00:00,TAS1,0.0
2026-03-02 18:00:00,VIC1,810.71
2026-03-02 19:00:00,NSW1,-688.29
2026-03-02 19:00:00,QLD1,117.22
2026-03-02 19:00:00,SA1,-414.47
2026-03-02 19:00:00,TAS1,0.0
2026-03-02 19:00:00,VIC1,1057.69
2026-03-02 20:00:00,NSW1,-520.72
2026-03-02 20:00:00,QLD1,368.33
2026-03-02 20:00:00,SA1,-505.3
2026-03-02 20:00:00,TAS1,0.0
2026-03-02 20:00:00,VIC1,687.19
2026-03-02 21:00:00,NSW1,-735.85
2026-03-02 21:00:00,QLD1,515.53
2026-03-02 21:00:00,SA1,-601.57
2026-03-02 21:00:00,TAS1,0.0
2026-03-02 21:00:00,VIC1,880.1
2026-03-02 22:00:00,NSW1,-891.9
2026-03-02 22:00:00,QLD1,547.29
2026-03-02 22:00:00,SA1,-649.96
2026-03-02 22:00:00,TAS1,0.0
2026-03-02 22:00:00,VIC1,1084.09
2026-03-02 23:00:00,NSW1,-1194.82
2026-03-02 23:00:00,QLD1,776.28
2026-03-02 23:00:00,SA1,-673.46
2026-03-02 23:00:00,TAS1,0.0
2026-03-02 23:00:00,VIC1,1218.84
2026-03-03 00:00:00,NSW1,-1304.26
2026-03-03 00:00:00,QLD1,863.68
2026-03-03 00:00:00,SA1,-687.12
2026-03-03 00:00:00,TAS1,0.0
2026-03-03 00:00:00,VIC1,1282.34
2026-03-03 01:00:00,NSW1,-1449.41
2026-03-03 01:00:00,QLD1,909.95
2026-03-03 01:00:00,SA1,-679.02
2026-03-03 01:00:00,TAS1,0.0
2026-03-03 01:00:00,VIC1,1398.86
2026-03-03 02:00:00,NSW1,-1511.03
2026-03-03 02:00:00,QLD1,908.67
2026-03-03 02:00:00,SA1,-672.44
2026-03-03 02:00:00,TAS1,0.0
2026-03-03 02:00:00,VIC1,1465.46
2026-03-03 03:00:00,NSW1,-1481.69
2026-03-03 03:00:00,QLD1,883.52
2026-03-03 03:00:00,SA1,-665.61
2026-03-03 03:00:00,TAS1,0.0
2026-03-03 03:00:00,VIC1,1443.94
2026-03-03 04:00:00,NSW1,-1167.15
2026-03-03 04:00:00,QLD1,890.56
2026-03-03 04:00:00,SA1,-668.7
2026-03-03 04:00:00,TAS1,-1.52
2026-03-03 04:00:00,VIC1,1080.53
2026-03-03 05:00:00,NSW1,-857.17
2026-03-03 05:00:00,QLD1,846.35
2026-03-03 05:00:00,SA1,-670.54
2026-03-03 05:00:00,TAS1,1.88
2026-03-03 05:00:00,VIC1,775.9
2026-03-03 06:00:00,NSW1,-971.12
2026-03-03 06:00:00,QLD1,976.77
2026-03-03 06:00:00,SA1,-646.57
2026-03-03 06:00:00,TAS1,23.87
2026-03-03 06:00:00,VIC1,719.01
2026-03-03 07:00:00,NSW1,-1012.69
2026-03-03 07:00:00,QLD1,1110.74
2026-03-03 07:00:00,SA1,-659.56
2026-03-03 07:00:00,TAS1,26.9
2026-03-03 07:00:00,VIC1,655.35
2026-03-03 08:00:00,NSW1,-865.32
2026-03-03 08:00:00,QLD1,1024.1
2026-03-03 08:00:00,SA1,-625.94
2026-03-03 08:00:00,TAS1,1.82
2026-03-03 08:00:00,VIC1,565.79
2026-03-03 09:00:00,NSW1,-1358.92
2026-03-03 09:00:00,QLD1,929.85
2026-03-03 09:00:00,SA1,-279.03
2026-03-03 09:00:00,TAS1,-49.7
2026-03-03 09:00:00,VIC1,881.53
2026-03-03 10:00:00,NSW1,-1668.54
2026-03-03 10:00:00,QLD1,861.1
2026-03-03 10:00:00,SA1,120.44
