trading_day,REGIONID,avg_fcas_price,avg_energy_price,fcas_to_energy_ratio
2026-03-05,NSW1,0.48,58.98,0.008
2026-03-05,QLD1,0.55,44.63,0.012
2026-03-05,SA1,0.48,-15.11,-0.032
2026-03-05,TAS1,1.64,63.41,0.026
2026-03-05,VIC1,0.48,-4.52,-0.107
2026-03-10,NSW1,0.59,41.66,0.014
2026-03-10,QLD1,0.59,44.35,0.013
2026-03-10,SA1,0.59,-162.71,-0.004
2026-03-10,TAS1,1.0,114.67,0.009
2026-03-10,VIC1,0.59,41.08,0.014
2026-03-12,NSW1,0.83,38.01,0.022
2026-03-12,QLD1,0.83,39.65,0.021
2026-03-12,SA1,0.83,-22.4,-0.037
2026-03-12,TAS1,0.95,59.95,0.016
2026-03-12,VIC1,0.83,-13.23,-0.063
