DATETIME,REGIONID,predispatch_rrp,actual_rrp,error_rrp
2026-03-12 10:30:00,NSW1,-3.39,,
2026-03-12 10:30:00,QLD1,-3.2,,
2026-03-12 10:30:00,SA1,-2.1,,
2026-03-12 10:30:00,TAS1,84.9,,
2026-03-12 10:30:00,VIC1,-5.09,,
2026-03-12 11:00:00,NSW1,-3.45,,
2026-03-12 11:00:00,QLD1,-3.2,,
2026-03-12 11:00:00,SA1,-2.01,,
2026-03-12 11:00:00,TAS1,86.4,,
2026-03-12 11:00:00,VIC1,-10.61,,
2026-03-12 11:30:00,NSW1,-4.13,,
2026-03-12 11:30:00,QLD1,-3.98,,
2026-03-12 11:30:00,SA1,-4.02,,
2026-03-12 11:30:00,TAS1,55.51,,
2026-03-12 11:30:00,VIC1,-7.37,,
2026-03-12 12:00:00,NSW1,-3.73,,
2026-03-12 12:00:00,QLD1,-3.66,,
2026-03-12 12:00:00,SA1,-5.34,,
2026-03-12 12:00:00,TAS1,68.6,,
2026-03-12 12:00:00,VIC1,-20.82,,
2026-03-12 12:30:00,NSW1,-5.99,,
2026-03-12 12:30:00,QLD1,-5.72,,
2026-03-12 12:30:00,SA1,-11.2,,
2026-03-12 12:30:00,TAS1,84.02,,
2026-03-12 12:30:00,VIC1,-11.54,,
2026-03-12 13:00:00,NSW1,-5.34,,
2026-03-12 13:00:00,QLD1,-5.08,,
2026-03-12 13:00:00,SA1,-11.21,,
2026-03-12 13:00:00,TAS1,71.95,,
2026-03-12 13:00:00,VIC1,-16.42,,
2026-03-12 13:30:00,NSW1,-11.06,,
2026-03-12 13:30:00,QLD1,-11.27,,
2026-03-12 13:30:00,SA1,-10.79,,
2026-03-12 13:30:00,TAS1,83.47,,
2026-03-12 13:30:00,VIC1,-12.74,,
2026-03-12 14:00:00,NSW1,-9.18,,
2026-03-12 14:00:00,QLD1,-9.51,,
2026-03-12 14:00:00,SA1,-8.64,,
2026-03-12 14:00:00,TAS1,77.69,,
2026-03-12 14:00:00,VIC1,-14.88,,
2026-03-12 14:30:00,NSW1,-6.05,0.51,-6.56
2026-03-12 14:30:00,QLD1,-6.39,0.53,-6.92
2026-03-12 14:30:00,SA1,-13.15,-20.0,6.85
2026-03-12 14:30:00,TAS1,53.86,82.84,-28.98
2026-03-12 14:30:00,VIC1,-21.15,-19.99,-1.16
2026-03-12 15:00:00,NSW1,-5.72,32.77,-38.5
2026-03-12 15:00:00,QLD1,-6.5,34.75,-41.25
2026-03-12 15:00:00,SA1,-7.47,-20.0,12.53
2026-03-12 15:00:00,TAS1,62.43,88.91,-26.48
2026-03-12 15:00:00,VIC1,-12.55,-14.1,1.55
2026-03-12 15:30:00,NSW1,-3.77,60.47,-64.24
2026-03-12 15:30:00,QLD1,-4.1,63.83,-67.93
2026-03-12 15:30:00,SA1,-7.37,-59.0,51.63
2026-03-12 15:30:00,TAS1,58.87,60.62,-1.75
2026-03-12 15:30:00,VIC1,-16.09,-13.4,-2.69
2026-03-12 16:00:00,NSW1,-3.19,76.08,-79.28
2026-03-12 16:00:00,QLD1,-3.42,77.95,-81.37
2026-03-12 16:00:00,SA1,-7.16,-15.46,8.3
2026-03-12 16:00:00,TAS1,61.52,68.49,-6.97
2026-03-12 16:00:00,VIC1,-13.44,-6.5,-6.94
2026-03-12 16:30:00,NSW1,33.76,51.3,-17.53
2026-03-12 16:30:00,QLD1,35.92,54.71,-18.79
2026-03-12 16:30:00,SA1,-6.58,-10.08,3.5
2026-03-12 16:30:00,TAS1,61.69,87.77,-26.07
2026-03-12 16:30:00,VIC1,-8.28,-3.25,-5.03
2026-03-12 17:00:00,NSW1,22.79,,
2026-03-12 17:00:00,QLD1,84.51,,
2026-03-12 17:00:00,SA1,-5.38,,
2026-03-12 17:00:00,TAS1,69.57,,
2026-03-12 17:00:00,VIC1,-5.43,,
2026-03-12 17:30:00,NSW1,14.82,,
2026-03-12 17:30:00,QLD1,104.63,,
2026-03-12 17:30:00,SA1,-4.23,,
2026-03-12 17:30:00,TAS1,88.84,,
2026-03-12 17:30:00,VIC1,-4.38,,
2026-03-12 18:00:00,NSW1,46.23,,
2026-03-12 18:00:00,QLD1,244.18,,
2026-03-12 18:00:00,SA1,-0.08,,
2026-03-12 18:00:00,TAS1,89.38,,
2026-03-12 18:00:00,VIC1,-0.09,,
2026-03-12 18:30:00,NSW1,113.54,,
2026-03-12 18:30:00,QLD1,312.93,,
2026-03-12 18:30:00,SA1,7.94,,
2026-03-12 18:30:00,TAS1,91.0,,
2026-03-12 18:30:00,VIC1,13.94,,
2026-03-12 19:00:00,NSW1,120.34,,
2026-03-12 19:00:00,QLD1,326.89,,
2026-03-12 19:00:00,SA1,15.13,,
2026-03-12 19:00:00,TAS1,92.71,,
2026-03-12 19:00:00,VIC1,26.36,,
2026-03-12 19:30:00,NSW1,119.74,,
2026-03-12 19:30:00,QLD1,319.19,,
2026-03-12 19:30:00,SA1,15.34,,
2026-03-12 19:30:00,TAS1,94.83,,
2026-03-12 19:30:00,VIC1,27.72,,
2026-03-12 20:00:00,NSW1,130.22,,
2026-03-12 20:00:00,QLD1,362.25,,
2026-03-12 20:00:00,SA1,15.62,,
2026-03-12 20:00:00,TAS1,92.61,,
2026-03-12 20:00:00,VIC1,29.28,,
2026-03-12 20:30:00,NSW1,100.07,,
2026-03-12 20:30:00,QLD1,253.56,,
2026-03-12 20:30:00,SA1,14.47,,
2026-03-12 20:30:00,TAS1,94.19,,
2026-03-12 20:30:00,VIC1,25.87,,
2026-03-12 21:00:00,NSW1,87.68,,
2026-03-12 21:00:00,QLD1,163.54,,
2026-03-12 21:00:00,SA1,18.58,,
2026-03-12 21:00:00,TAS1,89.47,,
2026-03-12 21:00:00,VIC1,39.09,,
2026-03-12 21:30:00,NSW1,77.16,,
2026-03-12 21:30:00,QLD1,85.68,,
2026-03-12 21:30:00,SA1,16.17,,
2026-03-12 21:30:00,TAS1,87.1,,
2026-03-12 21:30:00,VIC1,34.13,,
2026-03-12 22:00:00,NSW1,80.19,,
2026-03-12 22:00:00,QLD1,85.53,,
2026-03-12 22:00:00,SA1,9.48,,
2026-03-12 22:00:00,TAS1,86.79,,
2026-03-12 22:00:00,VIC1,11.75,,
2026-03-12 22:30:00,NSW1,68.03,,
2026-03-12 22:30:00,QLD1,82.3,,
2026-03-12 22:30:00,SA1,8.54,,
2026-03-12 22:30:00,TAS1,85.89,,
2026-03-12 22:30:00,VIC1,8.95,,
2026-03-12 23:00:00,NSW1,77.96,,
2026-03-12 23:00:00,QLD1,85.84,,
2026-03-12 23:00:00,SA1,8.45,,
2026-03-12 23:00:00,TAS1,85.82,,
