constraint_type_proxy,avg_shadow_price
NC,3755277.32
$MPP,642399.41
$GSTONE5,20293.42
$TARONG#3,18236.06
NSA,17639.66
$GSTONE6,15390.61
$TARONG#1,45.37
#TEMPB1,0.04
N:V,0.0
VS,0.0
S^NIL,0.0
N>96M,0.0
S-OUT,0.0
#JLB02,0.0
#R035094,0.0
DSNAP,0.0
#MANNSF2,0.0
#GPWFEST2,0.0
Q>N-NIL,0.0
#GREENB1,0.0
#R035101,0.0
#CLRKCWF2,0.0
#LVES1,-0.0
N>>99J,0.0
#R035064,0.0
#R035107,0.0
N^^Q,0.0
V^^N,0.0
#KARSF1,0.0
SVML,0.0
Q>YLTX,0.0
V::N,0.0
#BBATTERY1,0.0
T>T,0.0
Q>TZCTVS,0.0
V:SS,0.0
S^SNWWF,0.0
TVBL,0.0
N,0.0
#WDBESS1,0.0
N>>1,0.0
#COOPGWF1,0.0
#R035093,0.0
#R035080,0.0
#STUBSF1,0.0
#R035044,0.0
#WANDSF1,0.0
QNTE,0.0
#HD1WF1,0.0
#GSWF1A,0.0
N^^V,0.0
V>KM,0.0
V^^S,0.0
N>Q-NIL,0.0
S::V,0.0
Q>>NIL,0.0
#R035088,0.0
#GPWFEST1,0.0
VTBL,0.0
#TB2B1,0.0
#R035070,0.0
#RYANCWF1,0.0
#CHBESS1,0.0
I,0.0
Q^NIL,0.0
V::V,0.0
S>>TBWBUS,0.0
V^T,0.0
#MTGELWF1,0.0
#CLRKCWF1,0.0
S>V,0.0
N::V,0.0
S>TINO3,0.0
DATASNAP,0.0
#CPP,0.0
#R035104,0.0
V::S,0.0
#R035058,0.0
SV,0.0
SVML^NIL,0.0
#R035067,0.0
#DEVILS,0.0
DATA,0.0
S-CRK,0.0
#MCINTYR1,0.0
T::T,0.0
S^WPWF,0.0
N>>V,0.0
#R035078,0.0
Q^^N,0.0
#GIRGSF,-0.0
#GPWFEST3,0.0
Q:NIL,0.0
#R035098,0.0
#BRAEMAR1,0.0
S:V,0.0
S>>TB94,0.0
#R035109,0.0
#SMCSF1,0.0
NQ,0.0
#R035065,0.0
#R035076,0.0
#R035066,0.0
V>S,0.0
S:VS,0.0
#WALGRV1,0.0
V>>KM,0.0
#STUBSF2,0.0
#R035060,0.0
#R035073,0.0
#R035043,0.0
V^^SML,0.0
#R035050,0.0
T>>T,0.0
#WUNUSF1,0.0
T^T,0.0
V^S,0.0
NRM,0.0
#LILYSF1,0.0
S-MN,0.0
N::Q,0.0
#R035071,0.0
#R035062,0.0
#R035046,0.0
#R035055,0.0
Q^^NIL,0.0
#NESBESS1,0.0
V>>NSWRB,0.0
#LNGS2,0.0
S-NIL,0.0
N>>12,0.0
S>>NIL,0.0
NQTE,-0.0
V:T,0.0
#VIC1,0.0
#MOKOSF1,0.0
D,0.0
V>>S,0.0
V:S,0.0
#NESBESS2,0.0
#MOUSF1,0.0
S>>V,0.0
#MLB01,0.0
#R035041,0.0
VSML,0.0
Q^CN,0.0
#GSWF1B1,0.0
#HUNTER1,0.0
#HUNTER2,0.0
T^V,0.0
Q^FNQ,0.0
QN,0.0
#R035061,0.0
#R035072,0.0
V>>N,0.0
#RANGEB1,-0.01
#KESSB1,-0.01
#PIBESS1,-0.01
V>>NIL,-0.05
T,-0.33
N>N-NIL,-0.33
V>NIL,-0.4
V,-1.0
#KERNGSP1,-1.15
Q>NIL,-1.15
N>NIL,-1.79
S,-3.09
S>NIL,-3.99
#R035052,-4.96
F,-6.13
N>>NIL,-8.59
$TARONG#2,-9.57
N>X-968+96M,-9.88
N^^N,-10.05
$STAN-2,-11.4
N::N,-12.22
$STAN-1,-14.59
#R035103,-18.22
$TNPS1,-19.61
N>973,-35.21
V^^V,-296.62
N>94T,-595.4
Q,-24900.4
#R035099,-60902.55
C,-140248.53
$CALL,-286284.35
$TARONG#4,-385722.88
$CPP,-409172.15
