DUID,REGIONID,FUEL_TYPE,capacity_factor
CONDONG1,NSW1,Bagasse,8.4433
SHOAL1,NSW1,Natural Gas (Pipeline),8.3328
PIONEER,QLD1,Biomass and industrial materials,8.1231
BWTR1,NSW1,Bagasse,7.501
WAUBRAWF,VIC1,Wind,6.3931
BUTLERSG,TAS1,Hydro,6.371
BARCSF1,QLD1,Solar,6.3079
DIAPURWF1,VIC1,Wind,5.3471
GERMCRK,QLD1,Landfill biogas methane,4.2983
HUGSF1,QLD1,Solar,4.0856
GRIFSF1,NSW1,Solar,3.7636
REPULSE,TAS1,Hydro,3.7503
ROWALLAN,TAS1,Hydro,3.502
MBAHNTH,QLD1,Coal mine waste gas,3.2878
LRSF1,QLD1,Solar,3.228
CULLRGWF,NSW1,Wind,3.1875
CLUNY,TAS1,Hydro,3.1103
MLWF1,VIC1,Wind,2.9037
WOOLNTH1,TAS1,Wind,2.4606
MLSP1,NSW1,Solar,2.418
YAMBUKWF,VIC1,Wind,2.2967
CHALLHWF,VIC1,Wind,2.2323
CAPTL_WF,NSW1,Wind,2.1498
WNSF1,VIC1,Solar,2.1392
PORTWF,VIC1,Wind,2.0543
RPCG,QLD1,Biomass and industrial materials,1.9819
PALOONA,TAS1,Hydro,1.6436
YSWF1,VIC1,Wind,1.3401
ROYALLA1,NSW1,Solar,1.217
KEPBG1,QLD1,Battery Storage,0.5772
ERGT01,NSW1,Black coal,0.0
TULLYSM1,QLD1,GENERATOR,0.0
GB01,NSW1,Natural Gas (Pipeline),0.0
RUBICON,VIC1,Hydro,0.0
CLOVER,VIC1,Hydro,0.0
