REGIONID,forecast_error_mw
NSW1,6643.8
NSW1,6768.14
NSW1,6818.69
NSW1,6899.22
NSW1,6891.32
NSW1,6928.29
NSW1,6932.94
NSW1,7025.15
NSW1,6979.58
NSW1,6955.55
NSW1,7074.95
NSW1,7139.28
NSW1,7119.53
NSW1,7355.1
NSW1,7430.14
NSW1,7487.45
NSW1,7540.43
NSW1,7570.57
NSW1,7622.42
NSW1,7691.24
NSW1,7713.06
NSW1,7819.74
NSW1,7920.01
NSW1,7873.12
NSW1,7976.45
NSW1,8112.1
NSW1,8129.42
NSW1,8131.37
NSW1,8318.43
NSW1,8305.7
NSW1,8282.57
NSW1,8295.91
NSW1,8433.82
NSW1,8450.47
NSW1,8432.49
NSW1,8364.54
NSW1,8426.39
NSW1,8538.38
NSW1,8450.53
NSW1,8467.8
NSW1,8429.29
NSW1,8450.98
NSW1,8485.22
NSW1,8421.6
NSW1,8426.17
NSW1,8391.87
NSW1,8410.22
NSW1,8326.37
NSW1,8340.16
NSW1,8388.01
NSW1,8382.58
NSW1,8318.99
NSW1,8340.66
NSW1,8284.1
NSW1,8267.51
NSW1,8192.25
NSW1,8187.11
NSW1,8187.26
NSW1,8242.49
NSW1,8146.23
NSW1,8071.76
NSW1,8265.35
NSW1,8090.3
NSW1,8053.9
NSW1,8060.21
NSW1,8015.85
NSW1,8039.54
NSW1,8144.31
NSW1,8090.46
NSW1,8059.09
NSW1,7933.76
NSW1,7992.08
NSW1,8000.72
NSW1,8115.62
NSW1,8027.88
NSW1,7901.13
NSW1,7919.85
NSW1,7856.01
NSW1,7875.15
NSW1,7851.72
NSW1,7689.3
NSW1,7745.39
NSW1,7743.77
NSW1,7778.17
NSW1,7836.81
NSW1,7821.65
NSW1,7695.68
NSW1,7661.35
NSW1,7660.87
NSW1,7640.44
NSW1,7756.14
NSW1,7797.32
NSW1,7693.97
NSW1,7609.66
NSW1,7609.39
NSW1,7550.92
NSW1,7474.16
NSW1,7459.08
NSW1,7374.24
NSW1,7338.29
NSW1,7443.3
NSW1,7479.46
NSW1,7460.06
NSW1,7559.1
NSW1,7545.28
NSW1,7545.38
NSW1,7657.35
NSW1,7550.66
NSW1,7531.36
NSW1,7574.53
NSW1,7579.57
NSW1,7612.38
NSW1,7683.16
NSW1,7710.54
NSW1,7679.93
NSW1,7786.22
NSW1,7717.68
NSW1,7867.43
NSW1,7908.56
NSW1,7928.98
NSW1,7915.51
NSW1,7999.16
NSW1,8119.9
NSW1,8140.74
NSW1,8206.62
NSW1,8307.05
NSW1,8311.61
NSW1,8408.19
NSW1,8514.55
NSW1,8552.87
NSW1,8610.66
NSW1,8697.11
NSW1,8811.82
NSW1,8906.68
NSW1,8978.49
NSW1,9120.39
NSW1,9207.54
NSW1,9322.48
NSW1,9243.2
NSW1,9255.63
NSW1,9346.45
NSW1,9422.14
NSW1,9499.2
NSW1,9458.03
NSW1,9564.76
NSW1,9573.76
NSW1,9595.88
NSW1,9687.27
NSW1,9562.41
NSW1,9680.48
NSW1,9808.98
NSW1,9700.97
NSW1,9824.34
NSW1,9801.61
NSW1,9827.48
NSW1,9747.97
NSW1,9764.44
NSW1,9825.58
NSW1,9774.79
NSW1,9716.47
NSW1,9773.18
NSW1,9838.52
NSW1,9911.31
NSW1,9814.31
NSW1,9974.77
NSW1,9932.86
NSW1,9795.49
NSW1,9888.76
NSW1,9771.77
NSW1,9718.96
NSW1,9636.69
NSW1,9744.39
NSW1,9718.2
NSW1,9695.94
NSW1,9701.79
NSW1,9661.08
NSW1,9591.76
NSW1,9497.89
NSW1,9551.54
NSW1,9494.51
NSW1,9431.03
NSW1,9414.36
NSW1,9503.72
NSW1,9381.12
NSW1,9387.84
NSW1,9255.55
NSW1,9283.6
NSW1,9262.26
NSW1,9232.49
NSW1,9116.22
NSW1,9061.7
NSW1,8993.72
NSW1,9029.55
NSW1,9095.47
NSW1,9029.29
NSW1,8960.28
NSW1,8953.64
NSW1,8905.77
NSW1,8842.14
NSW1,8729.81
NSW1,8661.44
NSW1,8677.96
NSW1,8661.84
NSW1,8558.29
NSW1,8520.4
NSW1,8565.33
NSW1,8567.2
NSW1,8565.53
NSW1,8463.26
NSW1,8449.54
NSW1,8457.78
NSW1,8432.45
NSW1,8426.9
NSW1,8429.84
NSW1,8345.26
NSW1,8309.32
NSW1,8278.46
NSW1,8198.83
NSW1,8250.12
NSW1,8200.8
