g.DUID,REGIONID,FUEL_TYPE,gross_revenue_proxy
PIONEER,QLD1,Biomass and industrial materials,6984.78
BWTR1,NSW1,Bagasse,6053.54
SHOAL1,NSW1,Natural Gas (Pipeline),5969.29
GRIFSF1,NSW1,Solar,5858.27
BUTLERSG,TAS1,Hydro,5481.27
WNSF1,VIC1,Solar,5410.85
CONDONG1,NSW1,Bagasse,5151.63
GERMCRK,QLD1,Landfill biogas methane,4452.61
MBAHNTH,QLD1,Coal mine waste gas,3941.93
LRSF1,QLD1,Solar,3763.88
BARCSF1,QLD1,Solar,3648.5
HUGSF1,QLD1,Solar,2821.38
MLSP1,NSW1,Solar,2359.42
PORTWF,VIC1,Wind,2079.91
ROYALLA1,NSW1,Solar,2050.87
CLUNY,TAS1,Hydro,1644.82
REPULSE,TAS1,Hydro,1293.61
YAMBUKWF,VIC1,Wind,1149.54
CULLRGWF,NSW1,Wind,359.79
CHALLHWF,VIC1,Wind,336.55
