SETTLEMENTDATE,DUID,FUEL_TYPE,scada_mw
2026-03-12 14:10:00,BW03,Black coal,449.67728
2026-03-12 14:10:00,BW04,Black coal,382.85495
2026-03-12 14:10:00,CPP_3,Black coal,420.75
2026-03-12 14:10:00,ER01,Black coal,273.52713
2026-03-12 14:10:00,ER02,Black coal,282.75577
2026-03-12 14:10:00,ER03,Black coal,281.46182
2026-03-12 14:10:00,ER04,Black coal,280.31433
2026-03-12 14:10:00,KPP_1,Black coal,323.5235
2026-03-12 14:10:00,STOCKYD1,Wind,363.39999
2026-03-12 14:10:00,WDGPH1,Solar,388.31802
2026-03-12 14:15:00,BW03,Black coal,447.30908
2026-03-12 14:15:00,BW04,Black coal,394.96451
2026-03-12 14:15:00,CPP_3,Black coal,420.20001
2026-03-12 14:15:00,ER01,Black coal,281.26651
2026-03-12 14:15:00,ER02,Black coal,282.95108
2026-03-12 14:15:00,ER03,Black coal,286.95505
2026-03-12 14:15:00,ER04,Black coal,285.78317
2026-03-12 14:15:00,KPP_1,Black coal,314.50986
2026-03-12 14:15:00,STOCKYD1,Wind,344.92999
2026-03-12 14:15:00,WDGPH1,Solar,388.30902
2026-03-12 14:20:00,BW03,Black coal,448.57861
2026-03-12 14:20:00,BW04,Black coal,416.57129
2026-03-12 14:20:00,CPP_3,Black coal,419.64999
2026-03-12 14:20:00,ER01,Black coal,274.35721
2026-03-12 14:20:00,ER02,Black coal,281.68155
2026-03-12 14:20:00,ER03,Black coal,280.55847
2026-03-12 14:20:00,ER04,Black coal,278.36118
2026-03-12 14:20:00,KPP_1,Black coal,321.54285
2026-03-12 14:20:00,STOCKYD1,Wind,315.14001
2026-03-12 14:20:00,WDGPH1,Solar,388.57401
2026-03-12 14:25:00,BW03,Black coal,450.16556
2026-03-12 14:25:00,BW04,Black coal,433.27078
2026-03-12 14:25:00,CPP_3,Black coal,418.55002
2026-03-12 14:25:00,ER01,Black coal,293.88876
2026-03-12 14:25:00,ER02,Black coal,298.50308
2026-03-12 14:25:00,ER03,Black coal,298.69839
2026-03-12 14:25:00,ER04,Black coal,295.57336
2026-03-12 14:25:00,KPP_1,Black coal,322.53317
2026-03-12 14:25:00,STOCKYD1,Wind,328.97
2026-03-12 14:25:00,WDGPH1,Solar,389.07703
2026-03-12 14:30:00,BW03,Black coal,450.5806
2026-03-12 14:30:00,BW04,Black coal,448.35889
2026-03-12 14:30:00,CPP_3,Black coal,420.75
2026-03-12 14:30:00,ER01,Black coal,316.42328
2026-03-12 14:30:00,ER02,Black coal,319.81689
2026-03-12 14:30:00,ER03,Black coal,315.73969
2026-03-12 14:30:00,ER04,Black coal,314.05508
2026-03-12 14:30:00,KPP_1,Black coal,324.63135
2026-03-12 14:30:00,STOCKYD1,Wind,361.76999
2026-03-12 14:30:00,WDGPH1,Solar,388.742
2026-03-12 14:35:00,BW03,Black coal,446.7475299999999
2026-03-12 14:35:00,BW04,Black coal,442.35294
2026-03-12 14:35:00,CPP_3,Black coal,420.47500999999994
2026-03-12 14:35:00,ER01,Black coal,314.47012
2026-03-12 14:35:00,ER02,Black coal,317.37546
2026-03-12 14:35:00,ER03,Black coal,315.98383
2026-03-12 14:35:00,ER04,Black coal,313.85977
2026-03-12 14:35:00,KPP_1,Black coal,322.8689
2026-03-12 14:35:00,STOCKYD1,Wind,358.48001
2026-03-12 14:35:00,WDGPH1,Solar,387.99701
2026-03-12 14:40:00,BW03,Black coal,446.96725
2026-03-12 14:40:00,BW04,Black coal,457.24576
2026-03-12 14:40:00,CPP_3,Black coal,419.10000999999994
2026-03-12 14:40:00,ER01,Black coal,295.86633
2026-03-12 14:40:00,ER02,Black coal,304.02075
2026-03-12 14:40:00,ER03,Black coal,300.72479
2026-03-12 14:40:00,ER04,Black coal,299.33319
2026-03-12 14:40:00,KPP_1,Black coal,315.93661
2026-03-12 14:40:00,STOCKYD1,Wind,371.47
2026-03-12 14:40:00,WDGPH1,Solar,387.09201
2026-03-12 14:45:00,BW03,Black coal,450.70266999999996
2026-03-12 14:45:00,BW04,Black coal,478.04684
