REGIONID,market,fcas_cost_proxy
NSW1,RAISEREG,613.52
NSW1,LOWERREG,131.24
NSW1,RAISE5MIN,
NSW1,RAISE60SEC,
NSW1,LOWER60SEC,
NSW1,LOWER6SEC,
NSW1,RAISE6SEC,
NSW1,LOWER5MIN,
QLD1,RAISEREG,1473.66
QLD1,LOWERREG,201.42
QLD1,RAISE60SEC,
QLD1,RAISE6SEC,
QLD1,RAISE5MIN,
QLD1,LOWER60SEC,
QLD1,LOWER6SEC,
QLD1,LOWER5MIN,
SA1,RAISEREG,222.85
SA1,LOWERREG,188.3
SA1,RAISE6SEC,
SA1,LOWER5MIN,
SA1,LOWER6SEC,
SA1,RAISE5MIN,
SA1,RAISE60SEC,
SA1,LOWER60SEC,
TAS1,RAISEREG,704.52
TAS1,LOWERREG,218.48
TAS1,LOWER6SEC,
TAS1,RAISE5MIN,
TAS1,RAISE60SEC,
TAS1,RAISE6SEC,
TAS1,LOWER60SEC,
TAS1,LOWER5MIN,
VIC1,RAISEREG,879.71
VIC1,LOWERREG,209.07
VIC1,LOWER6SEC,
VIC1,LOWER60SEC,
VIC1,RAISE6SEC,
VIC1,RAISE5MIN,
VIC1,LOWER5MIN,
VIC1,RAISE60SEC,
