SETTLEMENTDATE,INTERCONNECTORID,flow_mw,export_limit_mw,import_limit_mw
2026-03-12 16:40:00,N-Q-MNSP1,12.07,12.07,-65.2
2026-03-12 16:40:00,T-V-MNSP1,-94.79,-94.79,-273.8
2026-03-12 16:40:00,V-S-MNSP1,146.96,146.96,146.96
2026-03-12 16:40:00,VIC1-NSW1,-284.06,-284.06,-946.15
2026-03-12 16:35:00,N-Q-MNSP1,16.73,16.73,-64.1
2026-03-12 16:35:00,T-V-MNSP1,-95.77,-95.78,-311.1
2026-03-12 16:35:00,V-S-MNSP1,145.39,145.39,145.39
2026-03-12 16:35:00,VIC1-NSW1,-241.87,-241.87,-952.74
2026-03-12 16:30:00,N-Q-MNSP1,18.84,18.84,-65.3
2026-03-12 16:30:00,T-V-MNSP1,-125.0,-125.0,-296.4
2026-03-12 16:30:00,V-S-MNSP1,145.74,145.74,145.74
2026-03-12 16:30:00,VIC1-NSW1,-262.34,-262.34,-954.44
2026-03-12 16:25:00,T-V-MNSP1,-121.32,-121.32,-289.7
2026-03-12 16:25:00,V-S-MNSP1,144.9,144.9,144.9
2026-03-12 16:25:00,V-SA,442.23,442.23,442.23
2026-03-12 16:25:00,VIC1-NSW1,-291.27,-291.27,-981.52
2026-03-12 16:20:00,T-V-MNSP1,-106.39,-106.39,-281.8
2026-03-12 16:20:00,V-S-MNSP1,144.75,144.75,144.75
2026-03-12 16:20:00,V-SA,418.16,418.16,418.16
2026-03-12 16:20:00,VIC1-NSW1,-355.39,-355.39,-978.62
2026-03-12 16:15:00,T-V-MNSP1,-121.38,-121.37,-283.0
2026-03-12 16:15:00,V-S-MNSP1,145.16,145.16,145.16
2026-03-12 16:15:00,V-SA,417.37,417.37,417.37
2026-03-12 16:15:00,VIC1-NSW1,-371.16,-371.16,-994.6
2026-03-12 16:10:00,V-S-MNSP1,144.24,144.24,144.24
2026-03-12 16:10:00,V-SA,428.39,428.39,428.39
2026-03-12 16:10:00,VIC1-NSW1,-389.99,-389.99,-1011.01
2026-03-12 16:05:00,T-V-MNSP1,0.0,0.0,-250.6
2026-03-12 16:05:00,V-S-MNSP1,144.04,144.04,144.04
2026-03-12 16:05:00,V-SA,413.06,413.06,413.06
2026-03-12 16:05:00,VIC1-NSW1,-367.22,-367.22,-1017.42
2026-03-12 16:00:00,V-S-MNSP1,143.1,143.1,143.1
