CONSTRAINTID,binding_intervals,avg_binding_shadow_price
C_V_LANCSF1_ZERO,2880,-7308000.0
NSA_S_PPT_42,1075,24164.5
$CPP_3,311,-370006.17
F_T_AUFLS2_R6,278,-594.62
N>NIL_COTX_LV,227,-24.99
N>973_9GL_NIL,216,-843.43
$GSTONE6,216,15818.13
NSA_S_TB3_40,104,128887.73
$GSTONE5,102,20293.42
$CPP_4,100,-1157011.73
T_MRWF_GCS,87,-131.32
N>X-968+96M_969_NIL,77,-108.18
$STAN-1,73,-24.98
NSA_S_TB4_40,63,174006.78
S_ISLE_CRK_60,59,-259.37
V_BANSF_BBD_S1,48,-759.32
Q>NIL_EMBW_EMLV_DS,45,-153.37
S_TIB_NOCHARGE,43,143.48
$TARONG#1,39,46.53
$TARONG#3,39,18703.65
$TARONG#4,38,-406024.09
$CALL_B_1,33,-468465.31
F_T+RREG_0050,31,3.95
V^^V_NIL_KGTS,31,-889.85
N>94T_947_72,31,-1707.78
