DUID,REGIONID,FUEL_TYPE,max_ramp_rate_mw_per_hour
TUMUT3,NSW1,Hydro,12001.44
RYEPARK1,NSW1,Wind,3786.01572
CUSF1,NSW1,Solar,3676.7159999999994
RYANCWF1,VIC1,Wind,2460.0
GPWFEST3,VIC1,Wind,2427.12156
MUWAWF1,VIC1,Wind,2380.1760000000004
MUWAWF2,VIC1,Wind,2293.80084
STUBSF2,NSW1,Solar,2281.56
WELNSF1,NSW1,Solar,2230.3634399999996
W/HOE#1,QLD1,Hydro,2220.0
MOORAWF1,VIC1,Wind,2035.1879999999999
W/HOE#2,QLD1,Hydro,1980.0
KIAMSF1,VIC1,Solar,1977.6720000000005
DUNDWF1,VIC1,Wind,1902.3324000000005
BRYB1WF1,VIC1,Wind,1853.3160000000003
GSWF1B1,SA1,Wind,1846.3944
UPPTUMUT,NSW1,Hydro,1808.2423200000017
GSWF1A,SA1,Wind,1763.1588000000004
SUNTPSF1,NSW1,Solar,1745.72676
SHGEN,NSW1,Hydro,1728.0
