DUID,rebid_count,latest_rebid_explanation
RT_NSW2,10,5MS - INITIAL RESERVER TRADER DEFAULT BID
JLB02,10,Default Offer
SNUG1,10,Initial Offer
LGAPWF1,10,INITIAL BID
URANQ11,10,Daily Bid - Noise restrictions revised SL
MPP_1,10,QLD1 RRP PDSENS Q-200 CHANGE -35 (19:00 PD TI 07/03/26 13:30 VAL
MREHA1,10,Change in forecast SOC
DUNDWF1,10,INITIAL BID
GULLRWF2,10,INITIAL BID
CLERMSF1,10,INITIAL BID
MURRAY,10,UPDATE CAPABILITY PARAMETERS FOR CHANGE TO OUTAGE PLAN/PLANT CON
LADBROK1,10,Daily Bid SL
DRYCGT3,10,Initial Offer
GPWFWST2,10,INITIAL OFFER SL
MSTUART2,10,Daily Bid SL
QPS5,10,Daily Bid SL
CALL_B_2,10,Daily Bid-MW Distribution--SL
BODWF1,10,INITIAL BID
BLUFF1,10,10:00~P~Availability statement (10:15~semi-sched as advised by O
MP2,10,Band Adj - NSW P30 RRP $78 vs $86 @ HHE 19:30
DRYCGT1,10,Initial Offer
DG_SA1,10,5MS - INITIAL RESERVER TRADER DEFAULT BID
LANCSF1,10,Initial Offer for ENERGY
NUMURSF1,10,INITIAL OFFER
TORRB3,10,050 Chg in unit operation~Run-up profile provided
