DUID,REGIONID,FUEL_TYPE,curtailed_mwh_proxy
CUSF1,NSW1,Solar,13612.22
GPWFEST2,VIC1,Wind,7052.22
GPWFEST1,VIC1,Wind,6704.66
MUWAWF1,VIC1,Wind,6685.62
TB2SF1,SA1,Solar,5176.6
TBSF1,SA1,Solar,4869.39
GOESF1,VIC1,Solar,4691.99
MACARTH1,VIC1,Wind,4493.09
WLWLSF2,NSW1,Solar,4327.51
BNGSF1,SA1,Solar,4223.24
GSWF1B1,SA1,Wind,4159.25
GLRWNSF1,VIC1,Solar,4122.55
MUWAWF2,VIC1,Wind,4055.39
WLWLSF1,NSW1,Solar,3916.32
PAREPW1,SA1,Wind,3827.28
PAREPS1,SA1,Solar,3792.45
WELLSF1,NSW1,Solar,3782.3
BNGSF2,SA1,Solar,3562.52
SUNTPSF1,NSW1,Solar,3536.92
RYANCWF1,VIC1,Wind,3388.38
GIRGSF,VIC1,Solar,3165.85
NYNGAN1,NSW1,Solar,3072.56
DUNDWF1,VIC1,Wind,2882.72
YENDWF1,VIC1,Wind,2846.78
NEVERSF1,NSW1,Solar,2812.68
