STATIONID,station_name,REGIONID,installed_capacity_mw
SNOWY1,Tumut 3 Power Station,NSW1,5331.0
SNOWY2,Tumut Power Station,NSW1,4372.0
SNOWY3,Guthega Power Station,NSW1,3841.0
SNOWY6,Blowering Power Station,NSW1,3836.0
SNOWY5,SNOWY,SNOWY1,3756.0
SNOWY4,SNOWY,SNOWY1,3756.0
DG_TAS1,TAS1 Dummy Generator,TAS1,3000.0
DG_QLD1,QLD1 Dummy Generator,QLD1,3000.0
DG_VIC1,VIC1 Dummy Generator,VIC1,3000.0
DG_SA1,SA1 Dummy Generator,SA1,3000.0
DG_NSW1,NSW1 Dummy Generator,NSW1,3000.0
ERARING,ERARING POWER STATION,NSW1,2905.0
BAYSW,Bayswater Power Station,NSW1,2665.0
LOYYANGA,LOY YANG A POWER STATION,VIC1,2235.0
LIDDELL,Liddell Power Station,NSW1,2025.0
G/STONE,GLADSTONE POWER STATION,QLD1,1705.0
HAZEL,Hazelwood Power Station,VIC1,1665.0
MURRAY,Murray Power Station,VIC1,1575.0
YALLOURN,YALLOURN 'W' POWER STATION,VIC1,1505.0
TUMUT3,TUMUT3,NSW1,1500.0
STANWELL,STANWELL POWER STATION,QLD1,1485.0
SWANBANK,Swanbank B Power Station & Swanbank E Gas Turbine,QLD1,1462.0
MP,MT PIPER POWER STATION,NSW1,1455.0
TARONG,TARONG POWER STATION,QLD1,1425.0
TORRIS,TORRENS ISLAND POWER STATION,SA1,1380.0
